address,hasOwner,Register Smart Contract Address,RegisterAccess Smart Contract Address,Token Address,TokenShop Address,TransferUSDCBasic Address,MintOnSepolia Transaction ID,Your transaction in the Bootcamp's WeatherFunctions
0xf736F47d4a177fB6Cb98b43aCb8A929Ded8c376e,false,true,false,true,true,true,true,true
0x53E2c7e9848D51B3cc35664966cb0A5BDdeE5374,false,false,false,false,false,true,true,true
0x0fE2f2c37f2b45595Ea38fEd75E2436B8b2dDc6C,false,true,false,false,false,true,true,true
0xB2D401C1C3EB3f85Cb48D92E3aBff82A12c3CbaD,false,false,false,false,false,true,true,true
0x8B379959a471Ed51c8Bbd5Ea76D22665B4F72A98,false,false,false,false,false,true,true,true
0x2bc90dcF139394C8359d22CAC0aa5FD999EaB72A,false,false,false,false,false,true,true,true
0xDccbCf926A577a4015B7456f3706b4Bc23430b4a,false,false,false,false,false,true,true,true
0x08324f21Bece0eB4F96B441FCd1B5D252A700467,false,false,false,false,false,true,true,true
0x9818AfEA2292F2727060a2a921684A21f1AA3335,false,false,false,false,false,true,false,true
0x7A596aE1D886FE5F7e891078D8E671b0dEB0047C,false,false,false,false,false,true,true,true
0x0ACF67019F9d68F0C57AF0A0d5EC6B3453100C57,false,false,false,false,false,true,true,true
0x46efA6D7B7b5fc2F63CaA7855a3e6ab31cf8CD47,false,false,false,false,false,true,true,true
0x34F1AF42413326d1255bf02B5402737C10fFbC6a,false,false,false,false,false,true,true,true
0x1892459D3dc2Cd615B7Bd22Be4F9561aa0a0c79C,false,false,false,false,false,true,true,true
0x93f8E7eC7E054b476d7de8E6bB096e56CD575Beb,false,false,false,false,false,true,true,true
0x61858892e43778106fEF7841b20099550B93fc28,false,false,false,false,false,true,true,true
0x0a4a89f075aB2966E43d1B6cB22EFc7EA8208532,false,false,false,false,false,true,true,true
0x3886219455a4462435400C7f682a4D35cbAbc1DB,false,false,false,false,false,true,true,true
0x4eA616A8BC9ebb6Ff20DD8a0cf4133249A769a1E,false,false,false,false,false,true,true,true
0x6C631B3D59282189a59EA9735Fc4B052B97c6fB4,false,false,false,false,false,true,false,false
0x8ce43903Ba551300d7af1D081fCD55F613492C39,false,false,false,false,false,true,true,true
0x51F8723a825e5c7c770F9Df2cCf73433DF6C33D9,false,false,false,false,false,true,true,true
0x0a275092d029DE3e29C5a430D099d731E7C0b97b,false,false,false,false,false,true,false,false
0x26a1d44315Fa1298473Ae57c1c46f063b985705D,false,false,false,false,false,true,true,true
0xEDE3fcDD8a55CB932921D3Cbfc8a3341F913F235,false,false,false,false,false,true,true,true
0xCcEb1642181b6DBa9502670C62058f9366518839,false,false,false,false,false,true,true,true
0x703E64De43d0a24b5E84B75aFA907dfbBaF7f573,false,false,false,false,false,true,true,true
0x2cB11E4250A2AFC3018B74a9Ce618666ec1D56ff,false,false,false,false,false,true,true,true
0x6DbB123C42036d8085Fa65c05BE799f9b22b4daA,false,false,false,false,false,true,false,false
0x79cDA9334fDDd435e8a5B291C659fF9d4c8B8899,false,false,false,false,false,true,true,true
0x1326e170719BC82e3917edeE020fb33199E5b7dF,false,false,false,false,false,false,true,false
0x75748a3A381BeE1c0d81b5AcEAb7333594a3a9Ff,false,false,false,false,false,true,true,true
0x2B16f034082cE829c2D2EA15FD3981b119b03FAE,false,false,false,false,false,true,true,true
0x8dD64B61205bf6fB629d761eAfC249F8702B7CA2,false,false,false,false,false,true,true,true
0xBAa0427044ADc9b6945181685A328b7fEd2E6b6D,false,false,false,false,false,true,true,true
0x24688c73014aaa521e320B6395A716bE514AB760,false,false,false,false,false,true,false,true
0xA1196902849DA5d266f52FD072729981260790A0,false,false,false,false,false,true,true,true
0x16a1842b8ca64EaD5ff24F21aFd54EAe04974eF5,false,false,false,false,false,false,true,true
0x13d409Fa10FC62f372fcCAB7296c5DE26E150419,false,false,false,false,false,true,true,true
0xeC0580e7e8A661966D31eB5eeBC29db983ad3d34,false,false,false,false,false,true,true,true
0x8047e0CDB37b82C6f95174752396196d21d879E5,false,false,false,false,false,true,true,true
0xB928F2bb3DcfcbBb55EfB66Ec9BF5Ece90772924,false,false,false,false,false,true,true,true
0x3E2A318669288B1916e434EB398079B453073fe1,false,false,false,false,false,true,true,true
0xb34b5d0EBa70686b0480b40bCbcE66D456B82Bdc,false,false,false,false,false,true,true,true
0x3012593147d8F5cc8a8A1A4Ee89Af3174eb7129A,false,false,false,false,false,true,true,true
0x0D7bB71A816De88C15E5bE2fAa05A1F6ffe526e5,false,false,false,false,false,true,false,false
0x3AEba0DE8921C8866a046376Ba9C4B6eD15CCeC3,false,false,false,false,false,true,true,true
0x651070210f8abd043C8F55f45499D2b27a90D755,false,false,false,false,false,true,true,true
0xF61C95F5dAa57AB5FC2848B4Cc21478E43D5364c,false,false,false,false,false,true,true,true
0x7B92aF4e46AcE3921Ec6f2B0f6dFC06729eD96D9,false,false,false,false,false,true,true,true
0xE04ed5de48ECE8bb21F445A8FE0cB0bbc82eEFab,false,false,false,false,false,true,true,true
0x5503D5bBe5dBd3554439515463f99CAaD9B8336F,false,false,false,false,false,true,true,true
0x27481caD1BB8eaC1aF7491473C3ED01b560359ef,false,false,false,false,false,true,true,true
0x57Be9C95784640376933b935a43DB4e0B9f9CCe3,false,false,false,false,false,true,true,true
0x69c51AD55D951D4e5301127E3876f3CD5f9401cd,false,false,false,false,false,true,true,true
0xC721817aa77882EcF4316fbAcd93F3CC57136eaa,false,false,false,false,false,true,true,true
0x1Cdaee6d908aC618658F17110b4EfaAF24bFf459,false,false,false,false,false,true,false,false
0x2d925Ae415eB5851864029c20A2483Ff27fcee71,false,false,false,false,false,true,true,true
0x0911Ffed10c9AD20Da892e3990038Bb15204480F,false,false,false,false,false,true,true,true
0xc70FC5A411E49A2C451Eb51881139B3EE1296300,false,false,false,false,false,true,false,true
0xd4136f45c2e4281cB1a3E474a43771d4c6D0c9f7,false,false,false,false,false,true,true,true
0xAA04C366cD0aa9be4b89Ec2A6CE929E4D77D385F,false,false,false,false,false,true,true,true
0xADb1Ba48A50836a00CC9037369e3955eb6825d09,false,false,false,false,false,true,true,true
0xF8E109816c0D3C827147D012D10a7d1aDFcF8D64,false,false,false,false,false,true,true,true
0x2EBfBc4383f09C624F80AA252d372b538ae4682c,false,false,false,false,false,true,true,true
0xcC999180C6730792735Ac4002A12ea723A729dBD,false,false,false,false,false,true,true,true
0x8ec82050aD1E2AA16d4496eA66336D68023920fB,false,false,false,false,false,true,true,true
0x1C48Ee49a162b53Ca88c42b2cA534f95212b4728,false,false,false,false,false,true,true,true
0xE514b96bcC117BD3cE1B2d422B17eEE051FF79b9,false,false,false,false,false,true,true,true
0xf027153E4678c74f30b0033B62AC999335c49604,false,false,false,false,false,true,true,true
0x463319e6DC9Cd0354c972C6D5CB91A9888eFC15e,false,false,false,false,false,true,true,true
0x92d682351F0E2Bdf19f63e77e97fa8f534D8D673,false,false,false,false,false,true,true,true
